name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
anytime_repair,30240,0.646421,0.336227,3.412574,2.984913,0.107591,0.118625,0.396584,0.397402,0.135706,0.285506,0.471553
breadth_first_symbolic,30240,0.650152,0.314512,3.239753,2.906288,0.116839,0.118674,0.389928,0.392946,0.135706,0.293596,0.486199
hybrid_symbolic_continuous,30240,0.636160,0.352207,3.507972,3.035427,0.109275,0.118636,0.395369,0.396587,0.135706,0.287642,0.452296
model_predictive_replanner,30240,0.627800,0.370405,3.360133,3.021710,0.114298,0.118644,0.391760,0.394178,0.135706,0.293026,0.440690
optimistic_learned_model,30240,0.603082,0.415187,3.220659,3.050354,0.125185,0.118666,0.383936,0.388954,0.135706,0.304861,0.401585
risk_averse,30240,0.651208,0.324842,3.531830,3.000869,0.104270,0.118643,0.398961,0.398979,0.135706,0.281967,0.477604
sampling_task_motion,30240,0.628481,0.357336,3.635556,3.079188,0.111780,0.118633,0.393588,0.395407,0.135706,0.290194,0.438379
weighted_astar,30240,0.622065,0.381371,3.122973,2.972793,0.121900,0.118714,0.386297,0.390515,0.135706,0.300637,0.436400
