name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
action_cost_shift,26880,0.635554,0.318594,3.762136,2.952752,0.136904,0.110110,0.400204,0.403643,0.112112,0.277954,0.452540
adversarial_guard_overlap,26880,0.585968,0.435226,3.529806,3.387641,0.124558,0.160794,0.374231,0.374415,0.182230,0.324121,0.359767
clean,26880,0.681514,0.287279,3.096196,2.618921,0.095276,0.077064,0.406670,0.412989,0.097499,0.263926,0.544507
descriptor_noise,26880,0.669296,0.305534,3.177778,2.761853,0.100767,0.083150,0.395220,0.407626,0.106577,0.285718,0.520800
horizon_extension,26880,0.640098,0.343712,3.482873,2.956132,0.119953,0.090099,0.398120,0.396224,0.123183,0.281853,0.463030
multiple_counterexamples,26880,0.585953,0.449249,3.517591,3.600668,0.124478,0.139749,0.388082,0.382591,0.237586,0.305642,0.359303
nonstationary_transition,26880,0.627359,0.336106,3.295444,2.928790,0.108584,0.206686,0.391648,0.400207,0.126874,0.292940,0.440146
partial_observability,26880,0.657644,0.324369,3.222326,2.852468,0.104159,0.092837,0.380214,0.402208,0.115802,0.308700,0.498329
planner_heuristic_bias,26880,0.615156,0.408527,3.326233,2.998760,0.110352,0.107401,0.394089,0.369438,0.119493,0.288753,0.416873
