name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
action_blacklist,24192,0.597208,0.395404,3.462299,3.123378,0.119152,0.154765,0.749233,0.746909,0.158691,0.320967,0.376990
ccra_with_retirement,24192,0.729341,0.210804,3.404764,2.612953,0.132681,0.060750,0.781667,0.785744,0.088454,0.307985,0.652239
exact_ccra,24192,0.726372,0.188825,3.371798,2.534135,0.131177,0.137937,0.796983,0.804259,0.183150,0.314843,0.623393
global_retraining_proxy,24192,0.578370,0.470599,3.212219,3.297403,0.084926,0.105100,0.000000,0.000000,0.131008,0.221238,0.340684
learned_guard_ccra,24192,0.714371,0.216132,3.420772,2.637704,0.133349,0.118159,0.776957,0.780233,0.158056,0.305230,0.602603
no_repair,24192,0.511790,0.538619,3.119950,3.346390,0.072518,0.160210,0.000000,0.000000,0.139837,0.327048,0.240950
oracle_guard_ccra,24192,0.770097,0.146093,3.342771,2.405678,0.132008,0.059679,0.815689,0.826566,0.096659,0.312796,0.731622
prediction_centric,24192,0.570426,0.480131,3.155341,3.291962,0.076163,0.121249,0.000000,0.000000,0.139837,0.233504,0.325861
robust_replanning,24192,0.570848,0.448735,3.808496,3.440310,0.146732,0.127574,0.000000,0.000000,0.121532,0.296856,0.309938
uncertainty_penalty,24192,0.562890,0.469764,3.490903,3.374515,0.110216,0.141121,0.000000,0.000000,0.139837,0.281320,0.301603
