name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
action_blacklist,384,0.744332,0.185409,3.140886,2.491288,0.102688,0.064789,0.780680,0.777760,0.102478,0.280725,0.629492
ccra_with_retirement,384,0.855239,0.025861,3.073668,1.993445,0.115634,0.045180,0.815124,0.818604,0.008150,0.268747,0.862701
exact_ccra,384,0.856163,0.021934,3.039620,1.934136,0.113236,0.063357,0.828224,0.834903,0.098278,0.274497,0.842088
global_retraining_proxy,384,0.721371,0.265859,2.896954,2.679479,0.069541,0.019959,0.000000,0.000000,0.087078,0.181401,0.585253
learned_guard_ccra,384,0.850404,0.027272,3.090108,2.015202,0.115923,0.055735,0.809133,0.811812,0.077278,0.265351,0.832991
no_repair,384,0.656537,0.335055,2.805225,2.729910,0.057604,0.066381,0.000000,0.000000,0.098978,0.287799,0.488291
oracle_guard_ccra,384,0.873016,0.020009,3.008428,1.846379,0.114459,0.047668,0.848919,0.859199,0.008453,0.273444,0.897826
prediction_centric,384,0.715165,0.276692,2.840674,2.675636,0.061298,0.027464,0.000000,0.000000,0.098978,0.194318,0.573132
robust_replanning,384,0.712459,0.242967,3.492758,2.821122,0.130936,0.049351,0.000000,0.000000,0.076578,0.256505,0.552338
uncertainty_penalty,384,0.707673,0.265637,3.175919,2.757345,0.095077,0.047095,0.000000,0.000000,0.098978,0.241790,0.549273
