name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
ccra_with_retirement|planner_heuristic_bias,2688,0.703333,0.272908,3.350846,2.631286,0.128983,0.057418,0.786092,0.736230,0.061958,0.304561,0.604058
exact_ccra|action_cost_shift,2688,0.731673,0.147001,3.750221,2.468413,0.153552,0.128988,0.813042,0.822560,0.142542,0.300601,0.630636
exact_ccra|adversarial_guard_overlap,2688,0.672636,0.276845,3.533400,2.942068,0.143641,0.182851,0.762224,0.765232,0.263306,0.347367,0.520196
exact_ccra|clean,2688,0.780886,0.113323,3.080165,2.123268,0.111818,0.094399,0.827492,0.842770,0.117118,0.287207,0.727864
exact_ccra|descriptor_noise,2688,0.766596,0.132890,3.168858,2.274223,0.117912,0.100480,0.803320,0.830773,0.133008,0.308520,0.700834
exact_ccra|horizon_extension,2688,0.734463,0.174094,3.472079,2.479776,0.136486,0.107383,0.808496,0.807344,0.161610,0.304115,0.638403
exact_ccra|multiple_counterexamples,2688,0.675631,0.285751,3.512695,3.142063,0.141852,0.159532,0.788827,0.780485,0.358646,0.328005,0.526079
exact_ccra|nonstationary_transition,2688,0.721147,0.165002,3.288589,2.449087,0.125679,0.231303,0.795550,0.815308,0.167966,0.315270,0.614200
exact_ccra|partial_observability,2688,0.753007,0.153365,3.222405,2.373052,0.122439,0.110676,0.773208,0.819836,0.148898,0.331439,0.674868
exact_ccra|planner_heuristic_bias,2688,0.701305,0.251154,3.317765,2.555270,0.127220,0.125819,0.800687,0.754025,0.155254,0.311059,0.577457
global_retraining_proxy|action_cost_shift,2688,0.578861,0.435170,3.598860,3.252346,0.108201,0.094948,0.000000,0.000000,0.119022,0.206740,0.339504
global_retraining_proxy|adversarial_guard_overlap,2688,0.534166,0.542891,3.354960,3.658587,0.094505,0.155760,0.000000,0.000000,0.154666,0.253146,0.255139
global_retraining_proxy|clean,2688,0.624431,0.407127,2.936440,2.928052,0.067488,0.055199,0.000000,0.000000,0.111518,0.193381,0.430339
global_retraining_proxy|descriptor_noise,2688,0.613193,0.423085,3.012241,3.064000,0.071771,0.062015,0.000000,0.000000,0.116208,0.214508,0.408999
global_retraining_proxy|horizon_extension,2688,0.585839,0.458782,3.318941,3.249963,0.091358,0.070356,0.000000,0.000000,0.124650,0.210924,0.354174
global_retraining_proxy|multiple_counterexamples,2688,0.533066,0.560581,3.349402,3.881931,0.095541,0.128991,0.000000,0.000000,0.182806,0.235028,0.252448
global_retraining_proxy|nonstationary_transition,2688,0.567175,0.452161,3.128447,3.224961,0.079493,0.213139,0.000000,0.000000,0.126526,0.221872,0.320280
global_retraining_proxy|partial_observability,2688,0.602514,0.440585,3.049991,3.148359,0.074271,0.073689,0.000000,0.000000,0.120898,0.237483,0.388286
global_retraining_proxy|planner_heuristic_bias,2688,0.566081,0.515014,3.160692,3.268428,0.081706,0.091806,0.000000,0.000000,0.122774,0.218058,0.316989
learned_guard_ccra|action_cost_shift,2688,0.719063,0.174157,3.799991,2.573378,0.155655,0.110141,0.792507,0.798025,0.120310,0.290733,0.608983
learned_guard_ccra|adversarial_guard_overlap,2688,0.662424,0.302879,3.580693,3.042164,0.145202,0.155980,0.741047,0.740055,0.232562,0.337179,0.503258
learned_guard_ccra|clean,2688,0.766944,0.140582,3.130640,2.229627,0.114062,0.081219,0.807101,0.818379,0.096678,0.277412,0.703667
learned_guard_ccra|descriptor_noise,2688,0.752984,0.159757,3.218157,2.379371,0.119858,0.086215,0.782504,0.805957,0.111448,0.298511,0.677442
learned_guard_ccra|horizon_extension,2688,0.721426,0.202298,3.521604,2.584231,0.138992,0.092728,0.789242,0.784090,0.138034,0.294888,0.615272
learned_guard_ccra|multiple_counterexamples,2688,0.664514,0.313847,3.561250,3.244334,0.144379,0.138167,0.770009,0.757667,0.321182,0.318996,0.506315
learned_guard_ccra|nonstationary_transition,2688,0.712091,0.192989,3.337488,2.553812,0.127966,0.195916,0.775893,0.791651,0.143942,0.305842,0.598857
learned_guard_ccra|partial_observability,2688,0.739844,0.180476,3.270228,2.477365,0.124227,0.094887,0.752495,0.795123,0.126218,0.321483,0.652255
learned_guard_ccra|planner_heuristic_bias,2688,0.690046,0.278200,3.366901,2.655055,0.129805,0.108179,0.781815,0.731153,0.132126,0.302023,0.557375
no_repair|action_cost_shift,2688,0.512426,0.503608,3.506783,3.301847,0.095960,0.149351,0.000000,0.000000,0.129998,0.312759,0.239849
no_repair|adversarial_guard_overlap,2688,0.466614,0.610017,3.262280,3.706476,0.081740,0.215704,0.000000,0.000000,0.159258,0.358510,0.153977
no_repair|clean,2688,0.558986,0.473587,2.843453,2.975121,0.054456,0.104590,0.000000,0.000000,0.123838,0.298411,0.333473
no_repair|descriptor_noise,2688,0.547494,0.491266,2.920046,3.113184,0.059427,0.112728,0.000000,0.000000,0.127688,0.320398,0.310861
no_repair|horizon_extension,2688,0.519966,0.527435,3.226963,3.299727,0.079203,0.121954,0.000000,0.000000,0.134618,0.317051,0.255488
no_repair|multiple_counterexamples,2688,0.466176,0.628622,3.257142,3.930943,0.083142,0.185655,0.000000,0.000000,0.182358,0.340848,0.152123
no_repair|nonstationary_transition,2688,0.498129,0.520903,3.036509,3.274835,0.067374,0.280609,0.000000,0.000000,0.136158,0.328043,0.215524
no_repair|partial_observability,2688,0.536569,0.508874,2.957845,3.197677,0.061970,0.125640,0.000000,0.000000,0.131538,0.343428,0.289630
no_repair|planner_heuristic_bias,2688,0.499754,0.583262,3.068527,3.317695,0.069390,0.145662,0.000000,0.000000,0.133078,0.323982,0.217626
oracle_guard_ccra|action_cost_shift,2688,0.774680,0.104688,3.720123,2.338316,0.154479,0.056776,0.832446,0.845564,0.052382,0.298903,0.737095
oracle_guard_ccra|adversarial_guard_overlap,2688,0.722750,0.232336,3.506693,2.816164,0.144259,0.069065,0.779415,0.786023,0.183786,0.344563,0.641446
oracle_guard_ccra|clean,2688,0.816201,0.072371,3.049606,1.995383,0.111554,0.050399,0.843569,0.862447,0.025541,0.283846,0.821233
oracle_guard_ccra|descriptor_noise,2688,0.804419,0.090953,3.139410,2.144432,0.118776,0.052596,0.822289,0.853342,0.042008,0.306604,0.797616
oracle_guard_ccra|horizon_extension,2688,0.773605,0.131597,3.442210,2.350377,0.137571,0.054887,0.828277,0.830725,0.073130,0.302606,0.737395
oracle_guard_ccra|multiple_counterexamples,2688,0.721825,0.241343,3.484161,3.013578,0.142763,0.070774,0.807583,0.802841,0.287526,0.325983,0.639075
oracle_guard_ccra|nonstationary_transition,2688,0.781935,0.122548,3.259495,2.319278,0.126914,0.071146,0.815475,0.838833,0.080046,0.313833,0.754213
oracle_guard_ccra|partial_observability,2688,0.792616,0.110659,3.194777,2.243584,0.123603,0.054696,0.792360,0.842588,0.059298,0.329615,0.774992
oracle_guard_ccra|planner_heuristic_bias,2688,0.742846,0.208342,3.288461,2.429989,0.128149,0.056767,0.819791,0.776729,0.066214,0.309211,0.681538
prediction_centric|action_cost_shift,2688,0.571049,0.445320,3.542267,3.247666,0.099685,0.110461,0.000000,0.000000,0.129998,0.219315,0.324646
prediction_centric|adversarial_guard_overlap,2688,0.525250,0.551516,3.297665,3.652032,0.085379,0.176738,0.000000,0.000000,0.159258,0.264959,0.238886
prediction_centric|clean,2688,0.617642,0.414770,2.878693,2.920290,0.057969,0.065514,0.000000,0.000000,0.123838,0.204702,0.418578
prediction_centric|descriptor_noise,2688,0.606118,0.432966,2.955523,3.058988,0.063147,0.073833,0.000000,0.000000,0.127688,0.226948,0.395665
prediction_centric|horizon_extension,2688,0.578601,0.468965,3.262362,3.245321,0.082855,0.082999,0.000000,0.000000,0.134618,0.223516,0.340392
prediction_centric|multiple_counterexamples,2688,0.524826,0.569915,3.292433,3.876246,0.086699,0.146618,0.000000,0.000000,0.182358,0.247195,0.237152
prediction_centric|nonstationary_transition,2688,0.556757,0.462530,3.071954,3.220549,0.071065,0.241688,0.000000,0.000000,0.136158,0.234556,0.300371
prediction_centric|partial_observability,2688,0.595192,0.450582,2.993327,3.143490,0.065694,0.086748,0.000000,0.000000,0.131538,0.249982,0.374429
prediction_centric|planner_heuristic_bias,2688,0.558399,0.524617,3.103847,3.263075,0.072972,0.106647,0.000000,0.000000,0.133078,0.230360,0.302631
robust_replanning|action_cost_shift,2688,0.571166,0.413881,4.195402,3.395961,0.170238,0.118306,0.000000,0.000000,0.108830,0.282646,0.308164
robust_replanning|adversarial_guard_overlap,2688,0.527386,0.522301,3.951824,3.803060,0.156821,0.174562,0.000000,0.000000,0.146602,0.329402,0.225218
robust_replanning|clean,2688,0.616057,0.385647,3.532894,3.071431,0.129448,0.081946,0.000000,0.000000,0.100878,0.269191,0.397797
robust_replanning|descriptor_noise,2688,0.604902,0.402108,3.608926,3.207997,0.133932,0.088361,0.000000,0.000000,0.105848,0.290569,0.376384
robust_replanning|horizon_extension,2688,0.577774,0.436064,3.914825,3.391820,0.152823,0.095517,0.000000,0.000000,0.114794,0.286115,0.322789
robust_replanning|multiple_counterexamples,2688,0.525877,0.537365,3.945057,4.023176,0.156807,0.149754,0.000000,0.000000,0.176422,0.309970,0.222957
robust_replanning|nonstationary_transition,2688,0.561616,0.429896,3.724539,3.367375,0.141139,0.225787,0.000000,0.000000,0.116782,0.297289,0.293448
robust_replanning|partial_observability,2688,0.594423,0.419493,3.646623,3.292215,0.136386,0.099036,0.000000,0.000000,0.110818,0.313488,0.356103
robust_replanning|planner_heuristic_bias,2688,0.558427,0.491861,3.756376,3.409751,0.142997,0.114895,0.000000,0.000000,0.112806,0.293032,0.286585
uncertainty_penalty|action_cost_shift,2688,0.563547,0.434425,3.877585,3.329571,0.133527,0.130147,0.000000,0.000000,0.129998,0.266868,0.300694
uncertainty_penalty|adversarial_guard_overlap,2688,0.517691,0.541523,3.633398,3.735045,0.119582,0.196740,0.000000,0.000000,0.159258,0.312962,0.214411
uncertainty_penalty|clean,2688,0.610029,0.405610,3.214810,3.004327,0.092505,0.085808,0.000000,0.000000,0.123838,0.253122,0.393619
uncertainty_penalty|descriptor_noise,2688,0.598608,0.422195,3.290899,3.141045,0.097039,0.093563,0.000000,0.000000,0.127688,0.274563,0.371641
uncertainty_penalty|horizon_extension,2688,0.571083,0.458318,3.597795,3.327531,0.116796,0.102773,0.000000,0.000000,0.134618,0.271192,0.316296
uncertainty_penalty|multiple_counterexamples,2688,0.517265,0.559937,3.628173,3.959278,0.120908,0.166626,0.000000,0.000000,0.182358,0.295206,0.212668
uncertainty_penalty|nonstationary_transition,2688,0.549252,0.451671,3.407289,3.302498,0.104922,0.261388,0.000000,0.000000,0.136158,0.282127,0.276398
uncertainty_penalty|partial_observability,2688,0.587685,0.439753,3.328676,3.225477,0.099562,0.106458,0.000000,0.000000,0.131538,0.297568,0.350439
uncertainty_penalty|planner_heuristic_bias,2688,0.550851,0.514445,3.439497,3.345867,0.107103,0.126586,0.000000,0.000000,0.133078,0.278274,0.278260
