name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
action_blacklist|action_cost_shift,2688,0.599620,0.358265,3.846361,3.071661,0.142428,0.144534,0.765776,0.765694,0.138118,0.306968,0.378831
action_blacklist|adversarial_guard_overlap,2688,0.548465,0.474597,3.612005,3.502522,0.130080,0.208449,0.714532,0.707940,0.199298,0.353521,0.282580
action_blacklist|clean,2688,0.647588,0.326228,3.180928,2.738021,0.100895,0.102186,0.779039,0.784717,0.125238,0.292981,0.474625
action_blacklist|descriptor_noise,2688,0.634951,0.345294,3.261663,2.881105,0.106350,0.109904,0.756047,0.773900,0.133288,0.314883,0.449994
action_blacklist|horizon_extension,2688,0.605503,0.382298,3.566521,3.073158,0.124969,0.117857,0.760726,0.749974,0.147778,0.310231,0.392421
action_blacklist|multiple_counterexamples,2688,0.549533,0.487059,3.600242,3.715219,0.129244,0.178787,0.740499,0.722557,0.247598,0.333841,0.285328
action_blacklist|nonstationary_transition,2688,0.585841,0.375157,3.378663,3.046549,0.113674,0.268792,0.748027,0.758185,0.150998,0.321509,0.356229
action_blacklist|partial_observability,2688,0.622847,0.364265,3.304893,2.970978,0.109532,0.122143,0.725945,0.762973,0.141338,0.337808,0.426695
action_blacklist|planner_heuristic_bias,2688,0.580520,0.445472,3.409415,3.111186,0.115197,0.140228,0.752502,0.696240,0.144558,0.316966,0.346208
ccra_with_retirement|action_cost_shift,2688,0.733454,0.169424,3.783761,2.548360,0.155313,0.057451,0.798264,0.804582,0.049918,0.294011,0.657002
ccra_with_retirement|adversarial_guard_overlap,2688,0.682300,0.297360,3.565143,3.018291,0.144368,0.072091,0.745094,0.744902,0.164298,0.339602,0.562561
ccra_with_retirement|clean,2688,0.776377,0.133542,3.114331,2.203690,0.112567,0.049384,0.809496,0.821574,0.026504,0.279010,0.743877
ccra_with_retirement|descriptor_noise,2688,0.763691,0.154829,3.202056,2.354188,0.119456,0.051806,0.788035,0.812288,0.040892,0.301677,0.718563
ccra_with_retirement|horizon_extension,2688,0.732715,0.197268,3.505430,2.559415,0.138473,0.054535,0.794454,0.790102,0.067978,0.297894,0.657671
ccra_with_retirement|multiple_counterexamples,2688,0.680814,0.308067,3.545350,3.219908,0.143449,0.072586,0.773906,0.762364,0.254598,0.321344,0.558887
ccra_with_retirement|nonstationary_transition,2688,0.739643,0.188206,3.321465,2.528954,0.127612,0.077089,0.781534,0.798092,0.073998,0.309062,0.671939
ccra_with_retirement|partial_observability,2688,0.751741,0.175638,3.254491,2.452479,0.123908,0.054394,0.758131,0.801560,0.055938,0.324701,0.695591
