name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
aliased,120960,0.689513,0.248536,3.470576,2.727852,0.147113,0.111563,0.654039,0.738676,0.137002,0.312331,0.564116
budget_clipped,120960,0.693871,0.255485,3.383948,2.721915,0.121964,0.107130,0.804060,0.718696,0.137002,0.312341,0.573361
exact,120960,0.758919,0.170579,3.290848,2.466133,0.095980,0.102709,0.969408,0.977048,0.137002,0.312368,0.691014
learned_low_precision,120960,0.714396,0.201524,3.530093,2.618192,0.168764,0.108938,0.564151,0.878787,0.137002,0.312387,0.607535
learned_low_recall,120960,0.669327,0.297554,3.358357,2.824954,0.113099,0.108032,0.844100,0.598736,0.137002,0.312361,0.529836
over_scoped,120960,0.736436,0.169014,3.481660,2.515384,0.173470,0.107132,0.704065,0.982403,0.137002,0.312344,0.647316
stale_retired,120960,0.714590,0.228105,3.362107,2.643035,0.116370,0.101830,0.844142,0.798778,0.137002,0.312382,0.610811
under_scoped,120960,0.680803,0.290476,3.288967,2.787051,0.094343,0.103590,0.969393,0.618730,0.137002,0.312358,0.551531
