name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
delayed_consequence,17280,0.606661,0.371256,3.413375,3.040205,0.113848,0.140036,0.392592,0.394368,0.153904,0.300161,0.413898
hidden_contact,17280,0.627024,0.374591,3.387842,3.044262,0.113854,0.093004,0.391463,0.394438,0.113933,0.284756,0.442291
impossible_transition,17280,0.584372,0.424049,3.433558,3.100490,0.113447,0.093161,0.401304,0.394279,0.113933,0.283993,0.380515
irreversible_failure,17280,0.602055,0.339698,3.460035,2.985501,0.113616,0.110618,0.395474,0.394449,0.128904,0.287113,0.424594
multi_step_dependency,17280,0.617112,0.392103,3.383122,3.085981,0.114032,0.122374,0.388647,0.394422,0.138904,0.296903,0.420895
nonstationary_obstacle,17280,0.625352,0.353705,3.374779,3.012407,0.114001,0.175237,0.389428,0.394403,0.183904,0.312324,0.433699
overblocked_alternative,17280,0.667397,0.298522,3.341579,2.931400,0.114422,0.157677,0.383367,0.394342,0.168904,0.305416,0.499681
perception_alias,17280,0.644019,0.360734,3.364237,3.074029,0.114731,0.104790,0.377408,0.394384,0.123905,0.293444,0.462687
reversible_failure,17280,0.731236,0.215992,3.298472,2.698674,0.113566,0.087289,0.399316,0.394291,0.108981,0.269876,0.607361
stale_patch,17280,0.641348,0.326276,3.359891,2.968267,0.114262,0.187100,0.387335,0.394310,0.193904,0.315610,0.457823
stochastic_slip,17280,0.661245,0.333038,3.346174,2.941661,0.113733,0.098976,0.395348,0.394324,0.118913,0.282843,0.491669
tool_infeasibility,17280,0.608432,0.402574,3.399130,3.070672,0.113498,0.098874,0.397474,0.394449,0.118913,0.286078,0.412301
underblocked_repeat,17280,0.612991,0.416928,3.378563,3.121317,0.114066,0.104868,0.390130,0.394305,0.123905,0.291892,0.411115
wrong_precondition,17280,0.635151,0.381684,3.364280,3.015335,0.113416,0.087160,0.399455,0.394431,0.108981,0.280092,0.449709
