name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
battery_constraint,10080,0.671998,0.282968,3.123900,2.722510,0.101708,0.115372,0.391963,0.396630,0.121044,0.280592,0.526690
bin_clutter,10080,0.634589,0.343697,3.469954,3.016700,0.118297,0.119874,0.392063,0.393544,0.140951,0.292067,0.452740
blocked_passage,10080,0.624769,0.382165,3.336701,3.047700,0.111792,0.118035,0.392145,0.394851,0.133264,0.294332,0.434768
cable_snag,10080,0.611612,0.395719,3.536344,3.166719,0.121398,0.120669,0.392094,0.392963,0.144801,0.298583,0.408257
conveyor_drift,10080,0.646695,0.323445,3.363403,2.922830,0.113157,0.118462,0.392020,0.394481,0.134799,0.288359,0.476672
door_hinge_limit,10080,0.645494,0.329389,3.336904,2.924746,0.111967,0.118188,0.391950,0.394656,0.133264,0.288727,0.474423
drawer_friction,10080,0.635754,0.352688,3.350041,2.985153,0.112453,0.118227,0.392131,0.394714,0.134031,0.291315,0.455790
false_shortcut,10080,0.625361,0.397261,3.177235,3.011935,0.104328,0.116122,0.391928,0.396104,0.124089,0.293975,0.436620
fixture_tolerance,10080,0.630026,0.354012,3.483176,3.046543,0.118897,0.120020,0.392037,0.393396,0.141721,0.293352,0.443921
fragile_support,10080,0.633042,0.357177,3.376764,3.006961,0.113835,0.118669,0.391989,0.394327,0.135566,0.292278,0.450294
grasp_precondition,10080,0.642420,0.341366,3.297015,2.934979,0.110077,0.117688,0.391932,0.395006,0.130965,0.289516,0.468721
handle_ambiguity,10080,0.623796,0.378340,3.403535,3.067503,0.115209,0.119096,0.391946,0.394040,0.137102,0.295040,0.432257
handoff_mismatch,10080,0.639330,0.335439,3.429861,2.980175,0.116281,0.119272,0.392091,0.393939,0.138641,0.290527,0.462195
latch_dependency,10080,0.620170,0.378169,3.496699,3.108070,0.119676,0.120309,0.391964,0.393200,0.142491,0.296297,0.424741
movable_obstacle,10080,0.634930,0.350819,3.390024,2.998270,0.114408,0.118783,0.392103,0.394320,0.136334,0.291696,0.453929
multi_room_recovery,10080,0.611402,0.390755,3.589550,3.178755,0.123913,0.121328,0.392164,0.392543,0.147881,0.298733,0.407590
narrow_passage,10080,0.636634,0.339626,3.456466,3.001639,0.117547,0.119610,0.392105,0.393709,0.140181,0.291342,0.456867
peg_alignment,10080,0.625639,0.369320,3.443251,3.064478,0.116984,0.119501,0.392031,0.393757,0.139411,0.294478,0.435715
pull_detachment,10080,0.634554,0.358520,3.323465,2.986907,0.111206,0.117905,0.392106,0.394934,0.132497,0.291615,0.453608
push_blockage,10080,0.644687,0.341975,3.230225,2.907580,0.106705,0.116667,0.392068,0.395754,0.127141,0.288502,0.473667
shelf_occlusion,10080,0.649617,0.324029,3.283528,2.889115,0.109311,0.117407,0.392025,0.395222,0.130200,0.287310,0.482778
slippery_support,10080,0.634201,0.366032,3.256802,2.975280,0.107930,0.116967,0.392158,0.395599,0.128670,0.291446,0.453409
support_collapse,10080,0.611021,0.398500,3.522989,3.167424,0.120719,0.120460,0.392139,0.393130,0.144031,0.298664,0.407246
tool_precondition,10080,0.628367,0.364847,3.416519,3.042651,0.115616,0.119075,0.392118,0.394089,0.137871,0.293537,0.441220
