name,count,success_rate,repeated_counterexample_rate,mean_expansions,recovery_latency,blocked_valid_rate,stale_patch_regret,guard_precision,guard_recall,patch_churn,model_loss,recoverability_score
1,120960,0.682286,0.269685,3.534931,2.752622,0.140494,0.119788,0.784040,0.769701,0.196603,0.312331,0.548794
2,120960,0.693466,0.252711,3.475463,2.712819,0.135723,0.113815,0.784109,0.778167,0.170214,0.312365,0.570333
3,120960,0.701372,0.240741,3.433250,2.684632,0.132334,0.109575,0.784153,0.784168,0.151492,0.312388,0.585568
5,120960,0.712436,0.223900,3.373717,2.644980,0.127492,0.103537,0.784038,0.792450,0.125300,0.312330,0.606968
8,120960,0.721718,0.209972,3.323775,2.611897,0.123504,0.098539,0.784149,0.799614,0.103809,0.312386,0.624828
