domain,counterexample,repeated_failure_pressure
false_shortcut,impossible_transition,0.667960
false_shortcut,wrong_precondition,0.614980
false_shortcut,hidden_contact,0.623500
false_shortcut,stochastic_slip,0.574420
false_shortcut,perception_alias,0.637840
false_shortcut,tool_infeasibility,0.654520
false_shortcut,nonstationary_obstacle,0.685360
false_shortcut,stale_patch,0.666940
false_shortcut,overblocked_alternative,0.609220
false_shortcut,underblocked_repeat,0.686800
false_shortcut,delayed_consequence,0.665740
false_shortcut,multi_step_dependency,0.677980
false_shortcut,reversible_failure,0.407980
false_shortcut,irreversible_failure,0.594700
blocked_passage,impossible_transition,0.644740
blocked_passage,wrong_precondition,0.595540
blocked_passage,hidden_contact,0.606760
blocked_passage,stochastic_slip,0.559840
blocked_passage,perception_alias,0.625960
blocked_passage,tool_infeasibility,0.634000
blocked_passage,nonstationary_obstacle,0.670780
blocked_passage,stale_patch,0.655060
blocked_passage,overblocked_alternative,0.600580
blocked_passage,underblocked_repeat,0.667144
blocked_passage,delayed_consequence,0.648946
blocked_passage,multi_step_dependency,0.660646
blocked_passage,reversible_failure,0.402040
blocked_passage,irreversible_failure,0.579580
slippery_support,impossible_transition,0.631060
slippery_support,wrong_precondition,0.584830
slippery_support,hidden_contact,0.599650
slippery_support,stochastic_slip,0.553270
slippery_support,perception_alias,0.625240
slippery_support,tool_infeasibility,0.623020
slippery_support,nonstationary_obstacle,0.665560
slippery_support,stale_patch,0.652090
slippery_support,overblocked_alternative,0.600670
slippery_support,underblocked_repeat,0.658360
slippery_support,delayed_consequence,0.641530
slippery_support,multi_step_dependency,0.653770
slippery_support,reversible_failure,0.400330
slippery_support,irreversible_failure,0.572650
movable_obstacle,impossible_transition,0.603160
movable_obstacle,wrong_precondition,0.559540
movable_obstacle,hidden_contact,0.572380
movable_obstacle,stochastic_slip,0.530500
movable_obstacle,perception_alias,0.594640
movable_obstacle,tool_infeasibility,0.595480
movable_obstacle,nonstationary_obstacle,0.639280
movable_obstacle,stale_patch,0.627340
movable_obstacle,overblocked_alternative,0.576820
movable_obstacle,underblocked_repeat,0.627472
movable_obstacle,delayed_consequence,0.614908
movable_obstacle,multi_step_dependency,0.624268
movable_obstacle,reversible_failure,0.388540
movable_obstacle,irreversible_failure,0.549340
tool_precondition,impossible_transition,0.621520
tool_precondition,wrong_precondition,0.576100
tool_precondition,hidden_contact,0.590020
tool_precondition,stochastic_slip,0.545260
tool_precondition,perception_alias,0.614080
tool_precondition,tool_infeasibility,0.613480
tool_precondition,nonstationary_obstacle,0.656200
tool_precondition,stale_patch,0.643180
tool_precondition,overblocked_alternative,0.591940
tool_precondition,underblocked_repeat,0.647488
tool_precondition,delayed_consequence,0.632152
tool_precondition,multi_step_dependency,0.643312
tool_precondition,reversible_failure,0.396100
tool_precondition,irreversible_failure,0.564460
grasp_precondition,impossible_transition,0.593620
grasp_precondition,wrong_precondition,0.550810
grasp_precondition,hidden_contact,0.562750
grasp_precondition,stochastic_slip,0.522490
grasp_precondition,perception_alias,0.583480
grasp_precondition,tool_infeasibility,0.585940
grasp_precondition,nonstationary_obstacle,0.629920
grasp_precondition,stale_patch,0.618430
grasp_precondition,overblocked_alternative,0.568090
grasp_precondition,underblocked_repeat,0.616600
grasp_precondition,delayed_consequence,0.605530
grasp_precondition,multi_step_dependency,0.613810
grasp_precondition,reversible_failure,0.384310
grasp_precondition,irreversible_failure,0.541150
latch_dependency,impossible_transition,0.636370
latch_dependency,wrong_precondition,0.589870
latch_dependency,hidden_contact,0.605680
latch_dependency,stochastic_slip,0.558220
latch_dependency,perception_alias,0.632980
latch_dependency,tool_infeasibility,0.628600
latch_dependency,nonstationary_obstacle,0.671590
latch_dependency,stale_patch,0.658030
latch_dependency,overblocked_alternative,0.606790
latch_dependency,underblocked_repeat,0.665092
latch_dependency,delayed_consequence,0.647353
latch_dependency,multi_step_dependency,0.660403
latch_dependency,reversible_failure,0.403120
latch_dependency,irreversible_failure,0.577690
